socd030,dem,plancur,procur,mrrtf,twi
13.803371,160,1.00E-06,7.22E-07,3.24657,12.109
12.031282,263,2.55E-06,2.65E-06,4.78296,11.4915
8.860576,150,-2.14E-06,-1.03E-06,3.70718,11.8315
11.105351,275,1.01E-06,-1.77E-06,5.60384,10.9064
10.461453,132,-6.42E-07,1.59E-07,2.60646,13.3472
11.355658,142,8.72E-07,-3.22E-06,3.80254,10.8125
11.47867,183,1.18E-06,5.87E-08,0.980072,11.9345
11.431269,280,-1.36E-06,2.08E-06,2.62739,11.4525
15.341709,225,3.94E-06,5.40E-07,5.74997,11.3959
11.673658,146,-1.47E-07,7.76E-08,1.84574,13.721
11.064331,298,5.01E-06,-2.83E-07,4.02728,11.322
12.369558,236,-1.68E-06,3.16E-06,5.61262,11.4263
8.242373,211,2.07E-06,1.59E-06,4.15231,12.5275
11.197212,245,1.76E-06,4.83E-07,4.82795,12.5331
8.301089,152,-1.32E-06,-2.33E-07,3.91793,13.9083
10.313723,183,-1.66E-07,8.21E-07,2.64487,12.1833
7.348194,223,2.24E-06,-1.56E-06,5.73595,11.4342
7.587109,207,-4.79E-07,9.95E-08,4.95506,12.0246
5.177015,172,-2.34E-07,1.44E-06,2.5168,11.5063
7.922181,202,5.68E-06,5.49E-06,3.97977,10.7879
7.09679,190,5.61E-07,7.84E-07,4.76726,11.6567
7.551708,197,-6.51E-07,-6.25E-07,5.19962,12.2631
8.078629,189,1.59E-06,-4.85E-07,4.71499,12.6359
8.745536,188,-1.79E-06,-4.59E-06,5.50711,11.1096
6.865503,197,1.69E-06,-3.07E-07,5.25613,11.9742
6.450532,163,-1.64E-06,-9.48E-07,3.75547,11.6618
9.232149,237,7.10E-07,1.63E-06,5.05881,12.5306
7.287572,187,3.52E-07,1.65E-07,4.80744,13.0969
6.995597,149,-3.99E-07,-3.25E-07,3.19144,13.1656
6.482199,185,8.23E-07,1.25E-06,5.03404,12.2245
8.18768,177,5.58E-07,8.90E-07,4.74523,13.1274
4.018118,144,-6.21E-07,-6.21E-07,2.23352,13.7038
5.089918,153,5.59E-07,5.10E-07,3.94363,12.7138
6.594281,212,1.89E-06,7.63E-07,5.11609,11.933
9.78556,290,-2.90E-06,1.05E-07,5.67243,11.78
4.065729,184,-2.38E-07,2.73E-07,5.14721,12.2006
9.528135,150,1.80E-07,2.70E-08,2.72353,13.2771
5.568755,174,-4.28E-07,-2.33E-06,3.96452,11.9077
6.768526,150,-2.09E-07,-3.43E-07,4.55084,13.3751
5.58728,212,-2.67E-07,5.78E-07,5.22889,13.1059
5.328782,186,-5.18E-07,1.72E-06,5.08188,11.9575
5.230295,224,1.52E-07,1.74E-06,5.05592,12.1013
7.128003,161,-2.39E-07,-6.58E-07,3.84571,13.1673
4.545289,205,-2.72E-06,5.13E-07,4.99447,11.5606
2.87111,207,3.35E-06,1.86E-06,5.10554,12.149
3.310048,140,4.39E-07,4.34E-08,0.628597,13.4368
4.503912,179,3.66E-07,-2.28E-07,5.0194,12.7286
4.559627,144,8.67E-07,-1.00E-06,2.05259,12.6957
4.338457,193,4.84E-07,-7.01E-08,4.95474,13.5008
6.608736,144,2.10E-07,5.14E-07,0.390879,13.1282
3.857919,144,-9.40E-08,-1.47E-07,3.04817,12.886
5.006346,150,-2.14E-06,-1.03E-06,3.70718,11.8315
3.9557,212,2.01E-06,2.68E-06,4.81505,12.6173
3.856553,192,-2.07E-06,-1.13E-06,4.40225,11.7621
17.46135,247,8.30E-08,-3.22E-06,4.59585,11.4238
9.569328,256,0.000004095,4.18E-06,4.72462,11.4718
10.882006,174,1.67E-06,-4.99E-07,1.92997,12.0083
8.340954,162,-3.81E-07,1.73E-06,3.39827,12.7848
9.203199,210,1.29E-06,3.02E-06,3.81445,11.784
8.553062,146,5.06E-07,4.25E-07,3.82595,13.3797
6.588805,141,-1.99E-06,-9.76E-07,4.86863,11.0614
5.334647,171,4.14E-07,1.03E-06,3.84669,13.2821
7.046488,171,-6.94E-07,-6.16E-07,2.75124,12.9163
5.462186,199,-5.73E-07,-1.51E-07,5.04444,12.7655
4.598858,139,3.91E-07,-4.66E-08,3.52193,13.3536
4.692094,226,-8.93E-07,-6.24E-07,4.58248,12.2467
6.45537,196,4.15E-06,2.16E-06,5.14381,12.4843
6.269128,194,-3.38E-07,6.14E-07,5.04471,11.8106
2.723415,140,1.13E-06,1.11E-06,3.06288,13.0206
4.630466,156,1.31E-07,1.10E-07,4.38208,13.261
6.385896,148,-9.11E-08,-2.19E-07,1.94362,13.6546
4.713906,136,-5.81E-07,-2.46E-07,0.231636,12.847
6.328975,239,7.92E-07,-1.48E-06,4.96418,11.9322
27.49031,369,-4.08E-06,-4.03E-06,5.83638,11.604
10.250228,139,-9.66E-08,-6.89E-09,0.54248,13.4018
6.352192,148,1.37E-07,2.08E-07,2.26227,13.3315
7.313946,149,3.25E-08,-3.25E-08,4.17954,13.3162
5.168691,145,-2.77E-06,1.21E-08,0.413387,12.3024
2.82803,119,-2.13E-06,-2.49E-06,0.339881,12.1655
9.663043,138,4.92E-07,-2.63E-06,0.0380899,12.1688
2.467586,170,2.55E-07,5.23E-06,4.69676,11.7859
2.747778,140,-5.21E-07,2.45E-07,1.19924,11.7813
15.668354,354,-3.80E-06,-2.58E-06,5.82017,11.6625
10.27043,156,2.43E-07,3.44E-07,0.238513,12.8299
7.855688,247,8.30E-08,-3.22E-06,4.59585,11.4238
8.269154,147,-3.66E-07,-5.65E-07,2.20733,13.3249
9.520461,280,1.08E-06,-2.21E-07,4.06411,11.3749
9.604827,149,3.25E-08,-3.25E-08,4.17954,13.3162
9.978927,150,-5.98E-07,-3.34E-07,3.50178,13.5893
6.742633,149,3.25E-08,-3.25E-08,4.17954,13.3162
6.037441,143,-4.12E-07,-2.77E-07,0.0552397,13.3483
7.661523,141,-3.26E-07,2.22E-07,0.156074,13.3746
5.632332,140,4.79E-07,9.35E-07,3.11484,12.9629
5.24636,183,-6.20E-07,1.59E-06,5.14748,12.1734
5.590879,138,2.53E-07,-2.18E-07,0.339408,13.3214
7.227158,140,-1.53E-07,-6.06E-07,0.79936,13.3992
3.610472,147,2.48E-07,9.65E-08,1.15871,13.6941
2.037336,141,-3.66E-07,-4.96E-07,2.40624,13.6558
4.070117,181,-8.44E-07,-8.11E-07,4.76493,12.636
3.239979,140,4.39E-07,4.34E-08,0.628597,13.4368
9.527116,230,-9.09E-07,-1.33E-06,4.84418,11.6867
6.601761,212,-4.94E-08,7.74E-07,4.33478,12.6657
5.498997,133,-1.07E-06,-2.55E-06,0.576832,12.3986
5.578294,157,1.03E-08,2.42E-08,2.66068,13.6167
6.324522,138,-4.82E-08,-4.33E-06,0.0159182,13.588
2.616075,153,-1.61E-07,1.61E-07,4.07928,13.2457
1.914553,153,-1.33E-07,-2.07E-06,2.36445,11.7076
2.931164,143,-1.63E-07,1.28E-07,3.56575,12.9044
2.946892,141,5.76E-07,5.28E-07,3.17824,13.0226